Region,Country,Chinese Name,Capital,Area (sq km),Population
歐洲,Russian Federation,俄羅斯,Moscow,17098242,140820810
歐洲,Albania,阿爾巴尼亞,Tirana (Tirane),28748,3107100
歐洲,Andorra,安道爾,Andorra la Vella,468,85370
歐洲,Austria,奧地利,Vienna,83871,8967982
歐洲,Belarus,白俄羅斯,Minsk,207600,9501451
歐洲,Belgium,比利時,Brussels,30528,11977634
歐洲,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,Sarajevo,51197,3798671
歐洲,Bulgaria,保加利亞,Sofia,110879,6782659
歐洲,Croatia,克羅埃西亞,Zagreb,56594,4150116
歐洲,Czechia,捷克,Prague,78867,10837890
歐洲,Denmark,丹麥,Copenhagen,43094,5973136
歐洲,Estonia,愛沙尼亞,Tallinn,45228,1193791
歐洲,Finland,芬蘭,Helsinki,338145,5626414
歐洲,France,法國,Paris,643801,68374591
歐洲,Germany,德國,Berlin,357022,84119100
歐洲,Greece,希臘,Athens,131957,10461091
歐洲,Holy See (Vatican City),梵蒂岡,Vatican City,0,1000
歐洲,Hungary,匈牙利,Budapest,93028,9855745
歐洲,Iceland,冰島,Reykjavik,103000,364036
歐洲,Ireland,愛爾蘭,Dublin,70273,5233461
歐洲,Italy,義大利,Rome,301340,60964931
歐洲,Kosovo,科索沃,"Pristina (Prishtine, Prishtina)",10887,1977093
歐洲,Latvia,拉脫維亞,Riga,64589,1801246
歐洲,Liechtenstein,列支敦斯登,Vaduz,160,40272
歐洲,Lithuania,立陶宛,Vilnius,65300,2628186
歐洲,Luxembourg,盧森堡,Luxembourg,2586,671254
歐洲,Malta,馬爾他,Valletta,316,469730
歐洲,Moldova,摩爾多瓦,Chisinau in Romanian (Kishinev in Russian),33851,3599528
歐洲,Monaco,摩納哥,Monaco,2,31813
歐洲,Montenegro,蒙特內哥羅,"Podgorica; note - Cetinje retains the status of ""Old Royal Capital""",13812,599849
歐洲,Netherlands,荷蘭,Amsterdam; note - The Hague is the seat of government,41543,17772378
歐洲,North Macedonia,北馬其頓,Skopje,25713,2135622
歐洲,Norway,挪威,Oslo,323802,5509733
歐洲,Poland,波蘭,Warsaw,312685,38746310
歐洲,Portugal,葡萄牙,Lisbon,92090,10207177
歐洲,Romania,羅馬尼亞,Bucharest,238391,18148155
歐洲,San Marino,聖馬利諾,San Marino (city),61,35095
歐洲,Serbia,塞爾維亞,Belgrade (Beograd),77474,6652212
歐洲,Slovak Republic,斯洛伐克,Bratislava,49035,5563649
歐洲,Slovenia,斯洛維尼亞,Ljubljana,20273,2097893
歐洲,Spain,西班牙,Madrid,505370,47280433
歐洲,Sweden,瑞典,Stockholm,450295,10589835
歐洲,Switzerland,瑞士,Bern,41277,8860574
歐洲,Ukraine,烏克蘭,Kyiv (Kiev is the transliteration from Russian),603550,35661826
歐洲,United Kingdom,英國,London,243610,68459055
南亞,Bangladesh,孟加拉,Dhaka,148460,168697184
南亞,Bhutan,不丹,Thimphu,38394,884546
南亞,India,印度,New Delhi,3287263,1409128296
南亞,Maldives,馬爾地夫,Male,298,388858
南亞,Nepal,尼泊爾,Kathmandu,147181,31122387
南亞,Pakistan,巴基斯坦,Islamabad,796095,252363571
南亞,Sri Lanka,斯里蘭卡,Colombo (commercial capital); Sri Jayewardenepura Kotte (legislative capital),65610,21982608
東南亞,Brunei Darussalam,汶萊,Bandar Seri Begawan,5765,491900
東南亞,Myanmar,緬甸,"Rangoon (aka Yangon, continues to be recognized as the primary Burmese capital by the US Government); Nay Pyi Taw is the administrative capital",676578,57527139
東南亞,Cambodia,柬埔寨,Phnom Penh,181035,17063669
東南亞,Indonesia,印尼,"Jakarta; note - Indonesian lawmakers on 18 January 2022 approved the relocation of the country’s capital from Jakarta to a site on the island of Borneo between Samarinda City and the port city of Balikpapan; Nusantara (""archipelago""), the name of the new capital, is expected to be established in August 2024",1904569,281562465
東南亞,Lao PDR,寮國,Vientiane (Viangchan),236800,7953556
東南亞,Malaysia,馬來西亞,Kuala Lumpur; note - nearby Putrajaya is referred to as a federal government administrative center but not the capital; Parliament meets in Kuala Lumpur,329847,34564810
東南亞,Philippines,菲律賓,Manila,300000,118277063
東南亞,Singapore,新加坡,Singapore,719,6028459
東南亞,Thailand,泰國,Bangkok,513120,69920998
東南亞,Timor-Leste,東帝汶,Dili,14874,1506909
東南亞,Viet Nam,越南,Hanoi (Ha Noi),331210,105758975
東亞,China,中國,Beijing,9596960,1416043270
東亞,"Hong Kong SAR, China",香港,,1108,7297821
東亞,Japan,日本,Tokyo,377915,123201945
東亞,"Korea, Dem. People's Rep.",朝鮮,Pyongyang,120538,26298666
東亞,"Korea, Rep.",韓國,"Seoul; note - Sejong, located some 120 km (75 mi) south of Seoul, serves as an administrative capital for segments of the South Korean Government",99720,52081799
東亞,"Macao SAR, China",澳門,,28,644426
東亞,Mongolia,蒙古,Ulaanbaatar,1564116,3281676
東亞,Taiwan,臺灣,Taipei,35980,23595274
西亞,Cyprus,賽普勒斯,Nicosia (Lefkosia/Lefkosa),9251,1320525
西亞,Bahrain,巴林,Manama,760,1566888
西亞,"Iran, Islamic Rep.",伊朗,Tehran,1648195,88386937
西亞,Iraq,伊拉克,Baghdad,438317,42083436
西亞,Israel,以色列,Jerusalem; note - the US recognized Jerusalem as Israel’s capital in December 2017 without taking a position on the specific boundaries of Israeli sovereignty,21937,9402617
西亞,Jordan,約旦,Amman,89342,11174024
西亞,Kuwait,科威特,Kuwait City,17818,3138355
西亞,Lebanon,黎巴嫩,Beirut,10400,5364482
西亞,Oman,阿曼,Muscat,309500,3901992
西亞,Qatar,卡達,Doha,11586,2552088
西亞,Saudi Arabia,沙烏地阿拉伯,Riyadh,2149690,36544431
西亞,Syrian Arab Republic,敘利亞,Damascus,187437,23865423
西亞,Turkiye,土耳其,Ankara,783562,84119531
西亞,United Arab Emirates,阿拉伯聯合大公國,Abu Dhabi,83600,10032213
西亞,"Yemen, Rep.",葉門,Sanaa,527968,32140443
西亞,Afghanistan,阿富汗,Kabul,652230,40121552
北美洲,Canada,加拿大,Ottawa,9984670,38794813
北美洲,United States,美國,"Washington, DC",9833517,341963408
中南美洲,Antigua and Barbuda,安地卡及巴布達,Saint John's,443,102634
中南美洲,"Bahamas, The",巴哈馬,Nassau,13880,410862
中南美洲,Barbados,巴貝多,Bridgetown,430,304139
中南美洲,Belize,貝里斯,Belmopan,22966,415789
中南美洲,Costa Rica,哥斯大黎加,San José,51100,5265575
中南美洲,Cuba,古巴,Havana,110860,10966038
中南美洲,Dominica,多米尼克,Roseau,751,74661
中南美洲,Dominican Republic,多明尼加,Santo Domingo,48670,10815857
中南美洲,El Salvador,薩爾瓦多,San Salvador,21041,6628702
中南美洲,Grenada,格瑞那達,Saint George's,344,114621
中南美洲,Guatemala,瓜地馬拉,Guatemala City,108889,18255216
中南美洲,Haiti,海地,Port-au-Prince,27750,11753943
中南美洲,Honduras,宏都拉斯,"Tegucigalpa; note - article eight of the Honduran constitution states that the twin cities of Tegucigalpa and Comayaguela, jointly, constitute the capital of the Republic of Honduras; however, virtually all governmental institutions are on the Tegucigalpa side, which in practical terms makes Tegucigalpa the capital",112090,9529188
中南美洲,Jamaica,牙買加,Kingston,10991,2823713
中南美洲,Nicaragua,尼加拉瓜,Managua,130370,6676948
中南美洲,Panama,巴拿馬,Panama City,75420,4470241
中南美洲,St. Kitts and Nevis,聖克里斯多福及尼維斯,Basseterre,261,55133
中南美洲,St. Lucia,聖露西亞,Castries,616,168038
中南美洲,St. Vincent and the Grenadines,聖文森及格瑞那丁,Kingstown,389,100647
中南美洲,Trinidad and Tobago,千里達及托巴哥,Port of Spain,5128,1408966
中南美洲,Mexico,墨西哥,Mexico City (Ciudad de Mexico),1964375,130739927
中南美洲,Argentina,阿根廷,Buenos Aires,2780400,46994384
中南美洲,Bolivia,玻利維亞,La Paz (administrative capital); Sucre (constitutional [legislative and judicial] capital),1098581,12311974
中南美洲,Brazil,巴西,Brasília,8515770,220051512
中南美洲,Chile,智利,Santiago; note - Valparaiso is the seat of the national legislature,756102,18664652
中南美洲,Colombia,哥倫比亞,Bogotá,1138910,49588357
中南美洲,Ecuador,厄瓜多,Quito,283561,18309984
中南美洲,Guyana,蓋亞那,Georgetown,214969,794099
中南美洲,Paraguay,巴拉圭,Asunción,406752,7522549
中南美洲,Peru,秘魯,Lima,1285216,32600249
中南美洲,Suriname,蘇利南,Paramaribo,163820,646758
中南美洲,Uruguay,烏拉圭,Montevideo,176215,3425330
中南美洲,"Venezuela, RB",委內瑞拉,Caracas,912050,31250306
中亞,Kazakhstan,哈薩克,Astana,2724900,20260006
中亞,Kyrgyz Republic,吉爾吉斯,Bishkek,199951,6172101
中亞,Tajikistan,塔吉克,Dushanbe,144100,10394063
中亞,Turkmenistan,土庫曼,Ashgabat (Ashkhabad),488100,5744151
中亞,Uzbekistan,烏茲別克,Tashkent (Toshkent),447400,36520593
中亞,Armenia,亞美尼亞,Yerevan,29743,2976765
中亞,Azerbaijan,亞塞拜然,"Baku (Baki, Baky)",86600,10650239
中亞,Georgia,喬治亞,Tbilisi,69700,4900961
大洋洲,Australia,澳洲,Canberra,7741220,26768598
大洋洲,Fiji,斐濟,Suva (on Viti Levu),18274,951611
大洋洲,Guam,關島,Hagatna (Agana),544,169532
大洋洲,Kiribati,吉里巴斯,Tarawa,811,116545
大洋洲,Marshall Islands,馬紹爾群島,"Majuro; note - the capital is an atoll of 64 islands; governmental buildings are housed on three fused islands on the eastern side of the atoll: Djarrit, Uliga, and Delap",181,82011
大洋洲,"Micronesia, Fed. Sts.",密克羅尼西亞聯邦,Palikir,702,99603
大洋洲,Nauru,諾魯,no official capital; government offices in the Yaren District,21,9892
大洋洲,New Zealand,紐西蘭,Wellington,268838,5161211
大洋洲,Niue,紐埃,Alofi,260,2000
大洋洲,Palau,帛琉,Ngerulmud,459,21864
大洋洲,Samoa,薩摩亞,Apia,2831,208853
大洋洲,Solomon Islands,索羅門群島,Honiara,28896,726799
大洋洲,Tokelau,托克勞群島,"""Te Atua"" (For the Almighty)",12,1647
大洋洲,Tonga,東加,Nuku'alofa,747,104889
大洋洲,Tuvalu,吐瓦魯,Funafuti; note - the capital is an atoll of some 29 islets; administrative offices are in Vaiaku Village on Fongafale Islet,26,11733
大洋洲,Vanuatu,萬那杜,Port-Vila (on Efate),12189,318007
大洋洲,Papua New Guinea,巴布亞紐幾內亞,Port Moresby,462840,10046233
漠南非洲,Angola,安哥拉,Luanda,1246700,37202061
漠南非洲,Benin,貝南,Porto-Novo (constitutional capital); Cotonou (seat of government),112622,14697052
漠南非洲,Botswana,波札那,Gaborone,581730,2450668
漠南非洲,Burkina Faso,布吉納法索,Ouagadougou,274200,23042199
漠南非洲,Burundi,蒲隆地,"Gitega (political capital), Bujumbura (commercial capital)",27830,13590102
漠南非洲,Cabo Verde,維德角,Praia,4033,611014
漠南非洲,Cameroon,喀麥隆,Yaounde,475440,30966105
漠南非洲,Central African Republic,中非共和國,Bangui,622984,5650957
漠南非洲,Chad,查德,N'Djamena,1284000,19093595
漠南非洲,Comoros,葛摩聯盟,Moroni,2235,900141
漠南非洲,"Congo, Dem. Rep.",剛果民主共和國,Kinshasa,2344858,115403027
漠南非洲,"Congo, Rep.",剛果,Brazzaville,342000,6097665
漠南非洲,Cote d'Ivoire,象牙海岸,"Yamoussoukro (legislative capital), Abidjan (administrative capital); note - although Yamoussoukro has been the official capital since 1983, Abidjan remains the administrative capital as well as the officially designated economic capital; the US, like other countries, maintains its Embassy in Abidjan",322463,29981758
漠南非洲,Djibouti,吉布地,Djibouti,23200,994974
漠南非洲,Equatorial Guinea,赤道幾內亞,"Malabo; note - Malabo is on the island of Bioko; some months of the year, the government operates out of Bata on the mainland region.",28051,1795834
漠南非洲,Eritrea,厄利垂亞,Asmara,117600,6343956
漠南非洲,Eswatini,史瓦帝尼,Mbabane (administrative capital); Lobamba (royal and legislative capital),17364,1138089
漠南非洲,Ethiopia,衣索比亞,Addis Ababa,1104300,118550298
漠南非洲,Gabon,加彭,Libreville,267667,2455105
漠南非洲,"Gambia, The",甘比亞,Banjul,11300,2523327
漠南非洲,Ghana,迦納,Accra,238533,34589092
漠南非洲,Guinea,幾內亞,Conakry,245857,13986179
漠南非洲,Guinea-Bissau,幾內亞比索,Bissau,36125,2132325
漠南非洲,Kenya,肯亞,Nairobi,580367,58246378
漠南非洲,Lesotho,賴索托,Maseru,30355,2227548
漠南非洲,Liberia,賴比瑞亞,Monrovia,111369,5437249
漠南非洲,Madagascar,馬達加斯加,Antananarivo,587041,29452714
漠南非洲,Malawi,馬拉威,Lilongwe,118484,21763309
漠南非洲,Mali,馬利,Bamako,1240192,21990607
漠南非洲,Mauritania,茅利塔尼亞,Nouakchott,1030700,4328040
漠南非洲,Mauritius,模里西斯,Port Louis,2040,1310504
漠南非洲,Mozambique,莫三比克,Maputo,799380,33350954
漠南非洲,Namibia,納米比亞,Windhoek,824292,2803660
漠南非洲,Niger,尼日,Niamey,1267000,26342784
漠南非洲,Nigeria,奈及利亞,Abuja,923768,236747130
漠南非洲,Rwanda,盧安達,Kigali,26338,13623302
漠南非洲,Sao Tome and Principe,聖多美普林西比,Sao Tome,964,223561
漠南非洲,Senegal,塞內加爾,Dakar,196722,18847519
漠南非洲,Seychelles,塞席爾,Victoria,455,98187
漠南非洲,Sierra Leone,獅子山,Freetown,71740,9121049
漠南非洲,Somalia,索馬利亞,Mogadishu,637657,13017273
漠南非洲,South Africa,南非,Pretoria (administrative capital); Cape Town (legislative capital); Bloemfontein (judicial capital),1219090,60442647
漠南非洲,South Sudan,南蘇丹,Juba,644329,12703714
漠南非洲,Tanzania,坦尚尼亞,"Dodoma; note - Dodoma was designated the national capital in 1996; Dar es Salaam, the original national capital, is the country's largest city and commercial center",947300,67462121
漠南非洲,Togo,多哥,Lome,56785,8917994
漠南非洲,Uganda,烏干達,Kampala,241038,49283041
漠南非洲,Zambia,尚比亞,Lusaka,752618,20799116
漠南非洲,Zimbabwe,辛巴威,Harare,390757,17150352
北非,Algeria,阿爾及利亞,Algiers,2381740,47022473
北非,"Egypt, Arab Rep.",埃及,Cairo,1001450,111247248
北非,Libya,利比亞,Tripoli (Tarabulus),1759540,7361263
北非,Morocco,摩洛哥,Rabat,716550,37387585
北非,Sudan,蘇丹,Khartoum,1861484,50467278
北非,Tunisia,突尼西亞,Tunis,163610,12048847
